method,mode,angle_state_label,physical_role_candidate,event_start_time_s,event_end_time_s,event_duration_s,peak_time_s,candidate_window_count,peak_anomaly_score,mean_anomaly_score,dominant_deviation_feature,global_peak_frequency_hz,representative_local_frequency_hz,local_frequency_low_hz,local_frequency_high_hz,interpretation,source_event_index,comparison_frequency_hz,consensus_cluster_id,consensus_level,method_count,supporting_methods
VMD,IMF9,stable_10deg,background_dynamic_mode,95.5,98.995,3.4950000000000045,97.0,4,4.762677070349974,4.273481035002882,rms_nm,80.04607093184978,80.0,80.0,80.0,anomaly_candidate_not_confirmed_fault,48,80.0,C037,five_method_consensus,5,"AVMD,IOVMD,STVMD,SVMD,VMD"
AVMD,IMF6,stable_10deg,background_dynamic_mode,96.0,98.995,2.9950000000000045,97.0,3,4.504421244355912,4.208773728945534,rms_nm,80.04607093184978,80.0,80.0,80.0,anomaly_candidate_not_confirmed_fault,49,80.0,C037,five_method_consensus,5,"AVMD,IOVMD,STVMD,SVMD,VMD"
SVMD,IMF9,stable_10deg,background_dynamic_mode,96.0,98.995,2.9950000000000045,97.0,3,4.894825336323176,4.557216447787408,rms_nm,80.04607093184978,80.0,80.0,80.0,anomaly_candidate_not_confirmed_fault,50,80.0,C037,five_method_consensus,5,"AVMD,IOVMD,STVMD,SVMD,VMD"
STVMD,IMF10,stable_10deg,background_dynamic_mode,97.0,99.995,2.9950000000000045,98.0,3,3.7096991771212737,3.709699177121274,local_peak_frequency_hz,97.83988178025034,92.0,92.0,92.0,anomaly_candidate_not_confirmed_fault,51,92.0,C038,single_method_only,1,STVMD
SVMD,IMF5,stable_10deg,angle_movement_response_candidate,99.0,101.495,2.4950000000000045,100.0,2,6.7449075947659525,6.407662215027655,local_peak_frequency_hz,39.90785813630041,34.75,34.5,35.0,anomaly_candidate_not_confirmed_fault,52,34.75,C036,two_method_consensus,2,"STVMD,SVMD"
SVMD,IMF5,stable_10deg,angle_movement_response_candidate,102.5,105.495,2.9950000000000045,103.5,3,6.070416835289357,5.620756328971626,local_peak_frequency_hz,39.90785813630041,35.5,35.0,35.5,anomaly_candidate_not_confirmed_fault,53,35.5,C036,two_method_consensus,2,"STVMD,SVMD"
VMD,IMF3,stable_10deg,background_dynamic_mode,108.0,110.995,2.9950000000000045,110.0,3,4.010654793709703,3.85187431798373,rms_nm,17.793810848400554,17.5,17.5,17.5,anomaly_candidate_not_confirmed_fault,54,17.5,C039,two_method_consensus,2,"IOVMD,VMD"
STVMD,IMF5,stable_10deg,background_dynamic_mode,109.0,111.495,2.4950000000000045,110.0,2,4.046944556859572,4.046944556859572,local_peak_frequency_hz,39.90785813630041,36.5,36.5,36.5,anomaly_candidate_not_confirmed_fault,55,36.5,C040,two_method_consensus,2,"STVMD,SVMD"
SVMD,IMF5,stable_10deg,angle_movement_response_candidate,109.0,111.995,2.9950000000000045,110.0,3,4.046944556859572,4.046944556859572,local_peak_frequency_hz,39.90785813630041,36.5,36.5,36.5,anomaly_candidate_not_confirmed_fault,56,36.5,C040,two_method_consensus,2,"STVMD,SVMD"
SVMD,IMF8,stable_10deg,background_dynamic_mode,109.0,112.495,3.4950000000000045,110.5,4,9.442870632672332,6.913530284635101,local_peak_frequency_hz,72.63125869262865,67.0,65.0,68.5,anomaly_candidate_not_confirmed_fault,57,67.0,C041,single_method_only,1,SVMD
