time_s,raw_ch1_nm,angle_component_nm,estimated_angle_deg,angle_velocity_deg_s,state_label
130.735,1550.007926,1549.8962351455443,11.866158980609793,2.572734844550695,stable_10deg
130.74,1549.935002,1549.8961400241496,11.879036880436312,2.5784244088370656,stable_10deg
130.745,1549.923784,1549.8960446926528,11.891943224698164,2.5841126094491074,stable_10deg
130.75,1549.787573,1549.8959491511046,11.904878006530803,2.5897994186818707,stable_10deg
130.755,1549.697848,1549.895853399557,11.917841218884982,2.5954848057526902,stable_10deg
130.76,1549.785971,1549.895757438063,11.93083285458833,2.6011687337227585,stable_10deg
130.765,1549.882918,1549.8956612666773,11.94385290622221,2.6068511656525573,stable_10deg
130.77,1550.003919,1549.8955648854558,11.956901366244855,2.61253207383767,stable_10deg
130.775,1549.922983,1549.8954682944552,11.969978226960587,2.6182114305735027,stable_10deg
130.78,1550.036777,1549.8953714937334,11.98308348055059,2.6238892081556386,stable_10deg
130.785,1549.974268,1549.895274483349,11.996217119042143,2.629565372723519,stable_10deg
130.79,1549.939009,1549.8951772633627,12.009379134277825,2.6352398873372707,stable_10deg
130.795,1549.987891,1549.8950798338358,12.022569517915516,2.640912724292477,stable_10deg
130.8,1549.780363,1549.8949821948306,12.03578826152075,2.6465838558850763,stable_10deg
130.805,1549.9334,1549.894884346411,12.049035356474366,2.652253248254155,stable_10deg
130.81,1549.775556,1549.8947862886414,12.062310794003292,2.6579208706165147,stable_10deg
130.815,1549.894937,1549.894688021588,12.075614565180532,2.66358669218949,stable_10deg
130.82,1549.871701,1549.894589545318,12.088946660925187,2.6692506791125226,stable_10deg
130.825,1549.822826,1549.8944908598996,12.102307071971657,2.67491280368084,stable_10deg
130.83,1549.924585,1549.894391965402,12.115695788961995,2.6805730320335286,stable_10deg
130.835,1550.003919,1549.8942928618962,12.129112802291992,2.686231324152999,stable_10deg
130.84,1549.918976,1549.8941935494543,12.142558102203525,2.6918876554130833,stable_10deg
130.845,1549.95744,1549.8940940281489,12.156031678846123,2.69754199195269,stable_10deg
130.85,1549.898143,1549.8939942980546,12.169533522123052,2.70319430606758,stable_10deg
130.855,1549.941413,1549.8938943592464,12.183063621906799,2.7088445762098345,stable_10deg
130.86,1549.941413,1549.8937942118002,12.19662196788515,2.7144927623616866,stable_10deg
130.865,1549.865291,1549.893693855794,12.210208549530416,2.7201388368188972,stable_10deg
130.87,1549.971864,1549.893593291306,12.22382335625334,2.7257827718768723,stable_10deg
130.875,1549.806001,1549.8934925184158,12.237466377249184,2.731424524440129,stable_10deg
130.88,1549.899745,1549.893391537205,12.25113760149774,2.737064066803896,stable_10deg
130.885,1549.875707,1549.8932903477553,12.264837017917223,2.7427013681853296,stable_10deg
130.89,1549.928592,1549.8931889501505,12.278564615179594,2.7483363885671963,stable_10deg
