segment_id,angle_state_label,cycle_index_within_state,target_frequency_hz,window_start_time_s,window_end_time_s,center_time_s,band_power_nm2,band_rms_nm,local_peak_frequency_hz
43deg_2,stable_43deg,2,60.0,156.7,158.695,157.6975,0.00021964076280147227,0.01482028214311294,60.15625
43deg_2,stable_43deg,2,38.5,157.2,159.195,158.1975,0.00034079390047152963,0.018460604011557413,39.84375
43deg_2,stable_43deg,2,60.0,157.2,159.195,158.1975,0.0003142979088431485,0.017728449138126788,60.15625
43deg_2,stable_43deg,2,38.5,157.7,159.695,158.6975,0.00034555674433576014,0.018589156633256932,39.84375
43deg_2,stable_43deg,2,60.0,157.7,159.695,158.6975,0.00033517611298440874,0.018307815625694092,60.15625
43deg_2,stable_43deg,2,38.5,158.2,160.195,159.1975,0.0003853578147003155,0.019630532715652814,39.84375
43deg_2,stable_43deg,2,60.0,158.2,160.195,159.1975,0.0005657411927299288,0.023785314644333148,60.15625
43deg_2,stable_43deg,2,38.5,158.7,160.695,159.6975,0.0003111570759324961,0.017639645005852474,39.84375
43deg_2,stable_43deg,2,60.0,158.7,160.695,159.6975,0.0004354947102614354,0.020868510015366104,60.15625
43deg_2,stable_43deg,2,38.5,159.2,161.195,160.1975,0.00038563910748431275,0.0196376960839176,38.28125
43deg_2,stable_43deg,2,60.0,159.2,161.195,160.1975,0.00033317837486459884,0.018253174377751362,60.15625
43deg_2,stable_43deg,2,38.5,159.7,161.695,160.6975,0.0005868427808934061,0.024224838098394097,38.28125
43deg_2,stable_43deg,2,60.0,159.7,161.695,160.6975,0.0003195729960964005,0.017876604713882346,60.15625
43deg_2,stable_43deg,2,38.5,160.2,162.195,161.1975,0.0005430457132332147,0.023303341246122083,39.84375
43deg_2,stable_43deg,2,60.0,160.2,162.195,161.1975,0.0003634547935781096,0.019064490383383176,60.15625
43deg_2,stable_43deg,2,38.5,160.7,162.695,161.6975,0.0004974189554546837,0.022302891190486576,39.84375
43deg_2,stable_43deg,2,60.0,160.7,162.695,161.6975,0.00030346271606561235,0.01742018128681824,60.15625
43deg_2,stable_43deg,2,38.5,161.2,163.195,162.1975,0.0005264387624986702,0.022944253365465395,39.84375
43deg_2,stable_43deg,2,60.0,161.2,163.195,162.1975,0.00021987316275307636,0.014828120675024073,57.8125
43deg_2,stable_43deg,2,38.5,161.7,163.695,162.6975,0.00037465648722810846,0.019356045237292365,39.84375
43deg_2,stable_43deg,2,60.0,161.7,163.695,162.6975,0.00025044421306194575,0.01582542931682884,57.8125
43deg_2,stable_43deg,2,38.5,162.2,164.195,163.1975,0.00022313391229468829,0.014937667565409544,39.84375
43deg_2,stable_43deg,2,60.0,162.2,164.195,163.1975,0.0002953033878143329,0.01718439372844829,60.15625
43deg_2,stable_43deg,2,38.5,162.7,164.695,163.6975,0.00036725228949852247,0.019163827631726457,37.5
43deg_2,stable_43deg,2,60.0,162.7,164.695,163.6975,0.0004143152350184157,0.020354734953283368,60.15625
43deg_2,stable_43deg,2,38.5,163.2,165.195,164.1975,0.0004699473929302649,0.02167827006313615,37.5
43deg_2,stable_43deg,2,60.0,163.2,165.195,164.1975,0.0006417645471656435,0.02533307220148483,60.15625
43deg_2,stable_43deg,2,38.5,163.7,165.695,164.6975,0.00035278552773615983,0.018782585757455224,39.84375
43deg_2,stable_43deg,2,60.0,163.7,165.695,164.6975,0.0004952573817940633,0.022254378935258185,60.15625
43deg_2,stable_43deg,2,38.5,164.2,166.195,165.1975,0.0005557250021302846,0.023573820270170142,39.84375
43deg_2,stable_43deg,2,60.0,164.2,166.195,165.1975,0.00036450059422331966,0.019091898654228178,60.15625
