method,mode,event_id,direction,start_time_s,end_time_s,duration_s,peak_frequency_hz,pre_event_rms_nm,post_event_rms_nm,expected_baseline_rms_nm,event_rms_nm,corrected_response_ratio,excess_percent
IOVMD,IMF9,2,43_to_10,87.79,94.25,6.459999999999994,72.63125869262865,0.014785687521246376,0.014512965039706331,0.014649960916665938,0.013719894684712056,0.9365140810105623,-6.348591898943767
IOVMD,IMF10,2,43_to_10,87.79,94.25,6.459999999999994,80.04607093184978,0.03993019972409925,0.035048270416488975,0.037568617948986305,0.037522985113417326,0.9987853469714818,-0.12146530285181978
IOVMD,IMF11,2,43_to_10,87.79,94.25,6.459999999999994,90.29468011126563,0.01689194358476579,0.02071067624329075,0.018898014029592076,0.017767060977965158,0.9401549258109355,-5.984507418906448
IOVMD,IMF1,3,10_to_43,131.24,137.695,6.454999999999984,0.008692628650904,0.12231119970747431,0.13231980132547233,0.1274138128239912,0.06448521748148728,0.5061085297758637,-49.389147022413624
IOVMD,IMF2,3,10_to_43,131.24,137.695,6.454999999999984,5.4242002781641165,0.017384563576089106,0.016772993729368232,0.017081515877938207,0.015571657421049148,0.9116086378001655,-8.839136219983445
IOVMD,IMF3,3,10_to_43,131.24,137.695,6.454999999999984,15.946627260083448,0.04454954638816727,0.011720462481322184,0.03257323536408034,0.022252816323795582,0.6831626049752045,-31.683739502479547
IOVMD,IMF4,3,10_to_43,131.24,137.695,6.454999999999984,17.793810848400554,0.020757760966970507,0.05087554179030187,0.03885360596404558,0.04287720346634847,1.1035578912810886,10.35578912810886
IOVMD,IMF5,3,10_to_43,131.24,137.695,6.454999999999984,20.07127955493741,0.02586062557532538,0.03090009100213057,0.028491995183622398,0.02796269284897836,0.9814227704577078,-1.857722954229224
IOVMD,IMF6,3,10_to_43,131.24,137.695,6.454999999999984,35.626738525730175,0.019157907120343404,0.015915204231140914,0.01761134763370808,0.02023738333622958,1.1491104347685055,14.91104347685055
IOVMD,IMF7,3,10_to_43,131.24,137.695,6.454999999999984,39.90785813630041,0.020817466756479018,0.022249134046685583,0.021545195380693265,0.021780734889822,1.0109323450062468,1.0932345006246846
IOVMD,IMF8,3,10_to_43,131.24,137.695,6.454999999999984,59.97479137691238,0.012959196232118582,0.01938188123640959,0.016486328991695554,0.01879274893050133,1.1398989392949492,13.989893929494922
IOVMD,IMF9,3,10_to_43,131.24,137.695,6.454999999999984,72.63125869262865,0.011227735665447242,0.012728971679109096,0.012001849194618249,0.013502052873588329,1.1249977111562763,12.499771115627635
IOVMD,IMF10,3,10_to_43,131.24,137.695,6.454999999999984,80.04607093184978,0.0414999953004859,0.04316099620485654,0.04233864194406802,0.046045907759204835,1.0875622279059953,8.756222790599534
IOVMD,IMF11,3,10_to_43,131.24,137.695,6.454999999999984,90.29468011126563,0.025567396118675256,0.01532392975633493,0.02107741169435111,0.018790525570147078,0.8915006188916008,-10.849938110839918
IOVMD,IMF1,4,43_to_10,183.66,196.315,12.655,0.008692628650904,0.1318955296216429,0.1211831286583036,0.12665263796224033,0.0613297345391673,0.4842357453103494,-51.576425468965056
IOVMD,IMF2,4,43_to_10,183.66,196.315,12.655,5.4242002781641165,0.02393352500644345,0.01719360615511914,0.020837870714775594,0.01638045446830809,0.7860906084177369,-21.390939158226306
IOVMD,IMF3,4,43_to_10,183.66,196.315,12.655,15.946627260083448,0.0179311435821332,0.05066351435923169,0.03800208939907879,0.03218063879432294,0.8468123543518382,-15.318764564816178
IOVMD,IMF4,4,43_to_10,183.66,196.315,12.655,17.793810848400554,0.08932145305951988,0.019995238057145273,0.06472299252053293,0.02616477421931756,0.4042577946471953,-59.574220535280475
IOVMD,IMF5,4,43_to_10,183.66,196.315,12.655,20.07127955493741,0.0325349093000114,0.025550665617954594,0.029251981442976607,0.027200539313699954,0.9298699770722983,-7.013002292770166
IOVMD,IMF6,4,43_to_10,183.66,196.315,12.655,35.626738525730175,0.01916950673393886,0.02244922521818636,0.020873879626453987,0.026062003642767003,1.2485462266313914,24.854622663139136
IOVMD,IMF7,4,43_to_10,183.66,196.315,12.655,39.90785813630041,0.022346653472222578,0.014028141013459556,0.018656924474589904,0.022756977540900204,1.2197603936219195,21.976039362191948
IOVMD,IMF8,4,43_to_10,183.66,196.315,12.655,59.97479137691238,0.022412597754880356,0.017788724799152753,0.020233181510850684,0.016978031083802237,0.8391182115722745,-16.08817884277255
IOVMD,IMF9,4,43_to_10,183.66,196.315,12.655,72.63125869262865,0.01419886417678915,0.014074897610357481,0.014137016776055564,0.016227443776469147,1.1478690330165147,14.786903301651467
IOVMD,IMF10,4,43_to_10,183.66,196.315,12.655,80.04607093184978,0.0440247373986441,0.04577418264197566,0.044907979800702005,0.03507428494163026,0.7810256684287983,-21.897433157120172
IOVMD,IMF11,4,43_to_10,183.66,196.315,12.655,90.29468011126563,0.01639309886102792,0.018422547483218872,0.017437372881814635,0.020102652450934826,1.1528486881128637,15.284868811286367
