time,CH1
37:47.162,1549.926188
37:47.176,1549.926989
37:47.176,1549.926188
37:47.177,1549.925387
37:47.178,1549.926188
37:47.183,1549.926989
37:47.188,1549.927791
37:47.193,1549.926989
37:47.198,1549.927791
37:47.208,1549.926188
37:47.221,1549.924585
37:47.221,1549.925387
37:47.223,1549.927791
37:47.223,1549.927791
37:47.228,1549.926188
37:47.233,1549.926989
37:47.237,1549.926989
37:47.243,1549.927791
37:47.252,1549.927791
37:47.266,1549.926989
37:47.266,1549.926188
37:47.267,1549.927791
37:47.267,1549.928592
37:47.273,1549.926989
37:47.277,1549.926188
37:47.283,1549.925387
37:47.288,1549.926989
37:47.297,1549.926188
37:47.311,1549.926188
37:47.312,1549.926188
37:47.312,1549.927791
37:47.314,1549.926989
37:47.317,1549.926989
37:47.323,1549.926188
37:47.328,1549.925387
37:47.333,1549.925387
37:47.343,1549.925387
37:47.356,1549.925387
37:47.356,1549.926188
37:47.356,1549.925387
37:47.358,1549.926989
37:47.363,1549.926989
37:47.368,1549.924585
37:47.373,1549.926188
37:47.377,1549.926989
37:47.400,1549.927791
37:47.400,1549.926989
37:47.400,1549.926989
37:47.400,1549.926989
37:47.402,1549.926188
37:47.407,1549.926989
37:47.412,1549.926188
37:47.417,1549.926188
37:47.422,1549.927791
37:47.445,1549.928592
37:47.445,1549.926188
37:47.446,1549.925387
37:47.446,1549.926989
37:47.448,1549.926989
37:47.452,1549.926989
37:47.457,1549.926188
37:47.463,1549.926188
37:47.468,1549.926989
37:47.472,1549.926188
37:47.492,1549.926989
37:47.492,1549.925387
37:47.493,1549.926989
37:47.493,1549.926989
37:47.498,1549.927791
37:47.502,1549.926188
37:47.507,1549.924585
37:47.512,1549.926989
37:47.522,1549.926989
37:47.535,1549.926989
37:47.535,1549.926989
37:47.536,1549.926989
37:47.537,1549.926188
37:47.542,1549.926989
37:47.547,1549.927791
37:47.552,1549.926989
37:47.557,1549.926989
37:47.567,1549.926989
37:47.581,1549.926989
37:47.583,1549.925387
37:47.583,1549.925387
37:47.583,1549.926989
37:47.587,1549.927791
37:47.593,1549.927791
37:47.598,1549.927791
37:47.603,1549.926188
37:47.607,1549.925387
37:47.628,1549.926188
37:47.629,1549.926989
37:47.629,1549.926989
37:47.629,1549.926989
37:47.632,1549.926188
37:47.638,1549.926188
37:47.643,1549.925387
37:47.648,1549.926188
37:47.657,1549.927791
37:47.671,1549.927791
37:47.671,1549.926989
37:47.672,1549.927791
37:47.673,1549.926989
37:47.678,1549.926989
37:47.682,1549.926188
37:47.687,1549.926989
37:47.692,1549.926188
37:47.703,1549.926989
37:47.715,1549.926989
37:47.716,1549.926989
37:47.716,1549.926188
37:47.717,1549.926188
37:47.723,1549.926989
37:47.727,1549.926989
37:47.733,1549.928592
37:47.738,1549.924585
37:47.747,1549.927791
37:47.761,1549.926989
37:47.761,1549.927791
37:47.762,1549.926989
37:47.762,1549.925387
37:47.768,1549.925387
37:47.773,1549.928592
37:47.778,1549.927791
