time,CH1
26:32.506,1549.641775
26:32.507,1549.872502
26:32.507,1549.832440
26:32.508,1549.985487
26:32.508,1550.103298
26:32.509,1549.895739
26:32.509,1550.001515
26:32.510,1549.702654
26:32.513,1549.856477
26:32.519,1549.887726
26:32.523,1549.763539
26:32.529,1549.792380
26:32.533,1549.732295
26:32.570,1549.914970
26:32.575,1550.054408
26:32.577,1550.043990
26:32.577,1549.984686
26:32.578,1549.965453
26:32.578,1549.856477
26:32.579,1549.875707
26:32.580,1549.717875
26:32.580,1549.827633
26:32.583,1549.837247
26:32.588,1549.853272
26:32.594,1549.943016
26:32.599,1549.862086
26:32.603,1549.979878
26:32.639,1549.881316
26:32.643,1549.971864
26:32.644,1549.929393
26:32.644,1549.853272
26:32.645,1549.945420
26:32.645,1549.810808
26:32.646,1549.906957
26:32.647,1549.747516
26:32.649,1549.703455
26:32.654,1549.838850
26:32.659,1549.855676
26:32.663,1549.914168
26:32.668,1550.007125
26:32.702,1549.898944
26:32.707,1550.011132
26:32.707,1549.917374
26:32.709,1549.906155
26:32.709,1550.064026
26:32.710,1550.064026
26:32.710,1549.811609
26:32.710,1549.748317
26:32.713,1549.801193
26:32.719,1549.878912
26:32.723,1549.878912
26:32.729,1550.065629
26:32.761,1549.898143
26:32.766,1550.043188
26:32.766,1550.029564
26:32.767,1550.017543
26:32.767,1549.876508
26:32.768,1549.797989
26:32.768,1549.883720
26:32.769,1549.956638
26:32.774,1549.878912
26:32.779,1549.985487
26:32.784,1549.942214
26:32.789,1550.004720
26:32.794,1550.140969
26:32.826,1549.914168
26:32.831,1550.090474
26:32.831,1549.835645
26:32.832,1549.991097
26:32.832,1549.895739
26:32.834,1549.757130
26:32.834,1549.896540
26:32.834,1549.853272
26:32.839,1550.014337
26:32.844,1550.007125
26:32.849,1550.010330
26:32.854,1549.960645
26:32.858,1549.926989
26:32.891,1549.952632
26:32.896,1549.952632
26:32.896,1549.833241
26:32.897,1549.952632
26:32.897,1549.870098
26:32.898,1549.925387
26:32.898,1549.970261
26:32.899,1549.834844
26:32.904,1549.950228
26:32.909,1549.723483
26:32.914,1549.920579
26:32.919,1549.975871
26:32.953,1549.922983
26:32.960,1549.986289
26:32.960,1549.910162
26:32.961,1549.958241
26:32.961,1550.035174
26:32.961,1549.901348
26:32.962,1549.928592
26:32.962,1549.769948
26:32.963,1549.613739
26:32.968,1549.823627
26:32.973,1549.856477
26:32.979,1550.098489
26:32.983,1549.914168
26:33.016,1550.028763
26:33.023,1550.079254
26:33.024,1549.937406
26:33.024,1549.955036
26:33.025,1549.854073
26:33.025,1549.913367
26:33.026,1549.773153
26:33.026,1549.768346
26:33.028,1549.995104
26:33.033,1549.892534
26:33.039,1549.996707
26:33.043,1550.079254
26:33.077,1549.998309
26:33.083,1550.059217
26:33.084,1549.963851
26:33.084,1549.979878
